variant,revenue,pre_revenue,page_load_ms,support_ticket
control,16.65,40.59,961.1,0
control,48.39,39.31,783.6,1
control,53.06,47.26,934.4,0
control,48.62,59.79,814.0,0
control,29.83,51.15,895.0,0
control,48.44,31.82,1142.4,1
control,35.54,40.86,924.3,0
control,23.51,79.66,830.9,0
control,57.35,48.52,932.6,0
control,58.72,59.65,858.6,0
control,61.08,53.72,823.1,0
control,33.05,48.92,1068.3,0
control,65.23,45.96,985.3,0
control,35.12,60.15,927.6,0
control,55.76,56.94,868.7,0
control,34.8,48.75,875.1,0
control,39.97,31.51,1023.4,0
control,0.42,50.94,924.5,0
control,38.57,42.79,653.4,0
control,45.64,38.45,1093.7,0
control,36.62,92.22,914.6,1
control,75.61,16.3,927.5,0
control,23.08,61.25,986.9,0
control,33.86,28.47,937.2,0
control,27.71,46.36,959.8,0
control,33.85,90.23,866.1,0
control,62.57,26.68,801.6,0
control,70.6,30.97,922.4,0
control,31.39,43.68,1014.5,0
control,30.99,28.75,848.2,0
control,23.17,59.91,841.8,0
control,67.51,34.38,997.7,0
control,64.18,55.77,863.4,0
control,42.09,20.07,867.2,0
control,18.87,11.48,870.1,0
control,20.48,39.88,894.8,0
control,47.07,15.77,774.1,1
control,53.89,71.33,856.9,0
control,6.81,16.46,918.4,0
control,38.22,25.32,917.9,0
control,73.13,51.45,992.6,0
control,40.08,33.45,1047.2,0
control,70.81,16.67,1021.0,0
control,55.68,80.72,973.2,0
control,24.48,25.97,888.1,0
control,38.73,40.47,850.2,0
control,41.68,40.23,901.4,0
control,26.85,56.79,946.8,0
control,26.54,52.32,965.8,0
control,71.12,29.12,949.8,0
control,26.41,38.14,890.3,0
control,63.41,39.92,962.9,0
control,36.14,57.48,1000.9,0
control,43.54,22.97,970.4,0
control,54.11,80.33,897.4,0
control,33.23,30.33,833.3,0
control,54.22,43.84,831.4,0
control,7.16,23.12,845.5,0
control,51.91,20.63,920.6,0
control,-0.43,28.26,941.6,0
control,39.92,26.53,786.8,0
control,59.38,36.54,859.7,0
control,55.2,26.38,919.5,0
control,20.63,56.52,828.0,0
control,22.95,29.91,934.7,0
control,31.6,27.91,875.4,0
control,47.35,36.93,842.1,0
control,7.43,61.87,904.3,0
control,43.76,47.87,931.4,0
control,49.61,42.21,832.1,0
control,38.91,18.21,880.6,0
control,53.46,23.43,937.4,0
control,48.03,20.99,839.0,0
control,34.25,67.52,767.4,0
control,9.15,53.55,777.1,0
control,46.4,28.49,866.6,0
control,26.84,33.84,794.5,0
control,33.59,29.14,872.2,0
control,52.62,28.05,1033.2,0
control,69.51,52.29,789.7,0
control,43.31,38.82,877.4,0
control,53.97,81.46,1070.6,0
control,18.0,66.51,932.7,0
control,48.42,67.57,870.6,0
control,42.92,56.08,887.4,0
control,66.13,36.39,934.3,0
control,34.27,54.76,1035.7,0
control,39.65,37.72,857.5,0
control,63.06,73.34,839.4,0
control,42.34,51.28,789.7,0
control,24.04,48.72,908.2,0
control,89.93,46.29,787.5,0
control,24.59,75.32,862.9,0
control,42.84,18.19,827.3,0
control,50.24,77.09,985.9,0
control,48.82,40.65,859.3,0
control,40.58,18.69,931.8,0
control,40.67,30.46,771.7,0
control,39.77,14.29,910.5,0
control,23.91,55.77,803.7,0
control,82.7,25.31,865.9,0
control,40.04,47.04,1076.9,0
control,54.74,64.42,974.6,0
control,37.98,31.9,889.7,1
control,37.61,39.17,1155.9,0
control,35.8,20.54,826.8,0
control,16.1,37.01,993.2,0
control,41.11,90.33,777.4,0
control,36.67,58.0,880.5,0
control,65.09,39.23,792.2,0
control,22.46,32.99,920.6,0
control,33.61,43.23,904.5,0
control,27.83,46.34,875.4,0
control,69.97,36.46,987.4,0
control,28.35,53.54,854.6,0
control,54.12,26.84,926.1,0
control,61.46,26.75,965.6,0
control,41.37,50.66,781.3,0
control,19.22,22.96,840.1,0
control,19.45,57.12,904.3,0
control,59.48,43.74,950.4,0
control,21.31,11.1,1013.7,0
control,51.06,45.97,882.7,0
control,46.06,13.67,874.7,0
control,50.79,56.48,830.2,0
control,52.49,39.52,926.4,0
control,27.19,77.32,876.2,0
control,26.44,63.28,878.1,1
control,56.87,24.91,892.5,0
control,32.67,7.63,944.1,0
control,-5.5,30.41,854.9,0
control,55.68,22.02,838.2,0
control,25.35,76.86,934.5,0
control,52.41,43.81,657.9,0
control,69.07,60.8,851.7,0
control,44.3,38.87,807.9,0
control,61.92,40.77,996.3,0
control,46.77,43.41,864.7,0
control,72.57,63.92,855.1,0
control,24.88,49.61,896.1,0
control,43.85,24.97,852.4,0
control,56.12,73.21,867.8,0
control,40.57,38.73,907.8,0
control,64.74,35.8,866.2,0
control,36.22,-6.93,865.7,0
control,81.25,55.42,819.2,0
control,82.2,45.82,807.7,0
control,49.08,45.8,904.9,0
control,53.95,36.75,924.5,1
control,65.45,33.65,785.7,0
control,22.63,37.35,960.8,0
control,20.38,52.34,961.1,0
control,66.62,55.5,978.0,0
control,48.93,39.84,924.0,0
control,39.92,61.08,951.0,0
control,44.2,42.58,1074.8,0
control,1.05,34.92,875.9,0
control,40.57,47.57,816.3,0
control,30.45,19.53,777.3,0
control,60.53,48.19,1040.5,0
control,61.91,16.24,1041.5,0
control,54.38,25.5,826.0,0
control,51.12,7.66,841.8,0
control,17.05,40.85,874.1,0
control,54.63,72.97,997.9,0
control,55.33,41.89,797.0,0
control,66.41,55.58,742.7,0
control,82.13,86.34,1073.4,0
control,13.53,51.27,925.0,0
control,37.01,30.23,936.4,0
control,30.64,32.7,883.6,0
control,47.11,44.01,937.3,0
control,44.24,32.61,778.9,0
control,39.79,33.95,832.7,0
control,62.5,61.73,908.4,0
control,24.17,62.47,718.3,0
control,25.26,14.36,875.8,0
control,25.56,29.27,870.9,0
control,37.51,35.65,875.8,0
control,21.89,54.78,855.9,0
control,43.13,64.58,820.3,0
control,41.02,92.64,754.2,0
control,29.84,35.62,911.6,0
control,59.73,36.52,876.0,0
control,42.93,54.59,790.0,0
control,63.13,31.72,905.0,0
control,40.49,41.46,876.4,0
control,43.56,36.53,863.1,0
control,33.87,-3.19,727.4,0
control,43.87,46.22,954.6,0
control,56.82,40.72,801.4,0
control,36.6,66.88,905.1,0
control,53.33,44.1,835.3,0
control,29.37,21.41,868.9,0
control,57.66,39.35,992.2,0
control,33.56,6.36,942.5,0
control,59.33,22.2,990.4,0
control,45.1,55.44,926.4,0
control,71.38,39.55,931.7,0
control,23.23,60.61,757.5,1
control,17.43,8.6,874.6,0
control,32.91,39.64,882.0,0
control,19.08,35.44,997.9,0
control,19.11,61.21,859.5,1
control,55.19,56.11,921.2,0
control,43.92,55.56,918.1,0
control,35.37,71.75,992.6,0
control,37.03,37.37,889.3,0
control,33.25,68.03,966.2,0
control,73.71,25.2,763.6,0
control,30.76,24.54,770.9,0
control,20.2,57.55,717.3,0
control,58.33,16.91,962.9,0
control,40.12,54.31,953.9,0
control,80.7,45.82,971.7,0
control,34.53,63.29,845.8,0
control,59.23,42.93,854.9,0
control,63.48,45.01,890.3,0
control,34.62,53.17,1015.5,0
control,30.63,32.07,1035.5,0
control,57.34,31.29,963.5,0
control,54.35,52.54,926.5,0
control,18.61,43.47,1006.8,0
control,23.69,36.67,879.5,0
control,-1.66,42.51,868.7,0
control,54.72,72.7,889.7,0
control,39.29,36.03,821.7,0
control,41.08,35.5,886.0,0
control,13.55,13.27,810.6,0
control,24.23,43.24,982.0,0
control,35.4,55.82,943.5,0
control,31.9,59.05,1014.4,0
control,46.12,45.95,769.7,0
control,54.5,61.21,1052.1,0
control,84.85,57.16,774.2,1
control,43.64,64.03,804.1,0
control,64.08,61.72,850.3,0
control,29.06,72.26,1004.6,0
control,13.85,40.95,918.0,0
control,37.66,20.11,880.5,1
control,15.24,55.95,836.6,0
control,44.26,58.05,789.9,1
control,29.95,72.26,990.6,0
control,8.82,67.06,963.9,0
control,75.25,79.02,1008.2,1
control,34.32,55.16,931.7,0
control,14.52,48.12,688.6,1
control,60.17,19.07,800.4,0
control,30.88,49.55,937.2,0
control,63.62,34.05,870.4,0
control,30.8,47.81,855.3,0
control,34.26,44.98,811.7,0
control,50.21,52.49,975.8,0
control,54.68,42.25,936.5,0
control,57.83,60.83,940.1,0
control,42.38,-5.02,849.3,0
control,53.52,47.42,914.1,0
control,57.42,65.64,793.0,0
control,47.61,77.66,889.6,0
control,41.43,57.18,697.8,1
control,17.98,74.33,774.6,0
control,54.79,47.04,874.2,0
control,44.76,44.05,1090.0,0
control,36.55,53.53,755.9,0
control,67.0,43.94,800.5,0
control,18.3,29.92,917.3,0
control,73.59,34.73,1041.6,0
control,43.6,23.98,916.2,0
control,49.72,53.51,956.2,0
control,36.89,44.21,873.0,0
control,13.99,37.51,859.2,0
control,41.49,33.8,906.6,0
control,50.03,53.09,847.3,0
control,56.17,58.05,957.9,0
control,40.44,23.65,771.5,0
control,4.53,20.82,971.2,0
control,16.25,61.18,903.1,0
control,80.94,19.25,882.8,0
control,24.33,53.85,768.6,0
control,69.69,73.1,821.6,0
control,27.19,73.15,995.9,1
control,40.72,57.28,883.3,0
control,55.25,56.76,922.3,0
control,29.24,84.53,829.6,0
control,72.66,1.98,897.7,0
control,45.36,35.64,790.2,0
control,52.3,59.27,908.0,0
control,39.18,37.93,929.7,0
control,55.86,66.32,925.6,0
control,72.42,43.29,827.7,0
control,41.64,46.37,872.6,0
control,75.13,39.06,943.0,0
control,32.99,34.59,883.1,0
control,57.75,34.15,877.0,0
control,52.8,48.88,1052.3,0
control,24.77,30.06,823.9,0
control,47.85,61.16,986.4,0
control,44.13,55.76,807.6,0
control,28.64,63.79,952.4,0
control,50.44,23.68,956.7,0
control,46.63,13.41,859.2,0
control,42.69,43.92,802.6,0
control,42.77,96.18,742.4,0
control,42.38,66.79,850.8,0
control,37.38,34.02,942.1,0
control,46.52,51.64,813.8,0
control,32.41,57.1,907.8,0
control,91.82,19.37,781.9,0
control,18.63,68.65,881.3,0
control,33.47,40.99,808.2,0
control,34.9,42.37,893.8,0
control,80.73,44.43,859.9,0
control,20.24,64.6,804.8,0
control,51.67,30.41,847.3,0
control,48.47,13.27,825.3,0
control,50.0,49.81,794.9,0
control,66.25,7.21,986.6,0
control,65.88,38.58,871.2,0
control,35.88,65.36,723.8,0
control,47.49,54.42,850.1,0
control,10.45,62.76,973.2,1
control,45.78,55.17,839.1,0
control,29.71,87.39,1019.8,0
control,40.65,33.41,831.5,0
control,13.66,51.17,940.3,0
control,51.29,36.11,982.9,0
control,13.46,61.22,936.0,0
control,46.67,42.89,790.0,0
control,21.92,74.94,824.6,0
control,28.71,34.45,993.6,0
control,64.79,69.33,835.6,0
control,54.58,54.68,978.1,0
control,64.69,43.42,865.6,0
control,72.08,53.76,911.3,0
control,30.09,48.7,789.1,0
control,70.98,50.41,851.3,0
control,17.62,40.28,830.0,0
control,57.43,31.37,918.0,0
control,35.12,37.97,907.5,0
control,27.25,13.7,937.0,0
control,55.06,59.16,860.8,0
control,61.01,21.77,825.6,0
control,60.47,40.08,914.6,0
control,47.87,55.66,817.6,0
control,46.38,59.11,986.3,0
control,53.48,12.06,890.8,0
control,49.47,42.35,873.9,1
control,53.74,52.28,937.0,0
control,47.67,44.94,893.9,0
control,59.17,68.19,767.4,0
control,14.71,29.21,815.1,0
control,41.64,7.12,984.6,0
control,19.09,58.59,906.7,0
control,48.98,34.33,765.5,0
control,73.55,12.35,928.2,0
control,35.47,41.15,855.3,0
control,46.29,66.15,830.0,0
control,57.62,21.26,808.4,0
control,6.78,86.05,980.0,0
control,34.6,28.92,742.8,0
control,50.56,45.57,833.0,0
control,-8.15,22.06,909.6,0
control,26.42,44.75,1026.3,0
control,63.82,41.59,944.3,0
control,62.05,17.19,832.3,0
control,50.74,94.86,1022.3,0
control,59.88,35.08,791.6,0
control,47.87,35.1,921.2,0
control,54.0,61.44,939.0,0
control,38.32,76.66,829.5,0
control,46.08,64.28,955.8,0
control,32.62,22.38,858.9,0
control,66.74,47.85,955.6,0
control,71.39,10.14,752.8,0
control,68.84,60.23,926.8,0
control,36.65,14.57,867.0,0
control,26.83,29.54,992.0,0
control,66.99,43.94,896.5,0
control,53.79,52.01,999.9,0
control,49.91,39.3,940.6,1
control,32.59,71.34,889.8,0
control,51.66,57.02,963.0,0
control,24.46,55.61,963.5,0
control,55.41,21.87,937.8,1
control,68.82,74.59,716.6,0
control,73.36,29.54,821.4,0
control,56.75,75.28,1010.7,1
control,19.12,80.4,799.5,1
control,47.55,53.23,970.6,0
control,82.51,62.58,956.5,0
control,28.36,-11.49,841.9,0
control,42.93,40.49,740.4,0
control,69.44,63.84,854.5,0
control,55.11,60.64,1066.2,0
control,88.64,22.04,830.9,0
control,30.81,38.71,836.5,0
control,26.18,-1.65,820.2,0
control,66.03,51.43,997.2,0
control,22.47,10.1,880.6,0
control,40.46,64.35,849.9,0
control,42.82,65.29,1013.1,0
control,62.65,35.46,946.4,0
control,55.06,53.38,826.5,0
control,52.23,40.09,802.1,0
control,36.76,48.35,992.7,0
control,65.87,23.35,901.3,0
control,116.46,55.2,776.1,0
control,56.44,14.46,757.4,0
control,45.79,11.06,810.7,0
control,20.64,41.81,800.8,0
control,32.53,40.2,736.3,0
control,40.15,48.9,812.0,0
control,34.38,32.31,826.5,0
control,43.71,77.94,863.0,0
control,76.0,46.89,1035.4,0
control,66.45,48.19,878.7,0
control,41.14,47.55,886.6,0
control,22.25,62.05,940.7,0
control,68.07,54.37,881.0,0
control,43.12,51.96,932.0,0
control,12.92,57.25,922.4,0
control,56.82,11.16,909.8,0
control,62.46,11.84,1121.3,0
control,0.33,42.63,972.9,0
control,29.16,40.44,813.5,0
control,42.01,54.44,929.6,0
control,57.22,44.36,836.7,0
control,34.72,54.47,935.7,0
control,29.02,21.58,790.0,0
control,57.09,43.81,811.4,0
control,35.57,19.86,927.5,0
control,53.76,50.96,979.8,0
control,23.99,10.19,940.2,0
control,19.66,50.27,968.3,0
control,57.59,17.56,929.9,0
control,48.55,37.1,913.8,0
control,60.6,60.11,859.7,0
control,34.41,48.09,965.0,0
control,29.69,14.38,982.0,0
control,68.49,31.9,895.0,0
control,16.59,16.98,890.6,0
control,66.53,13.49,1027.3,0
control,67.77,46.12,898.4,0
control,59.48,54.09,906.1,0
control,31.62,51.93,938.7,0
control,29.3,54.85,892.2,0
control,40.22,43.79,834.4,1
control,20.69,39.08,930.2,0
control,26.69,24.68,896.9,0
control,55.61,36.08,1047.4,0
control,55.69,20.22,963.1,0
control,25.11,28.79,852.4,0
control,56.17,45.6,958.3,0
control,52.18,41.88,924.6,0
control,71.18,99.17,1004.8,0
control,54.24,19.78,858.0,0
control,63.05,41.75,915.1,0
control,52.59,18.37,892.1,0
control,61.64,37.02,904.7,0
control,20.83,37.75,829.2,0
control,41.81,59.21,946.1,0
control,43.3,35.91,933.4,0
control,39.61,40.56,1002.8,0
control,51.99,36.25,899.2,0
control,55.42,18.78,867.1,0
control,51.06,32.26,963.1,0
control,40.82,37.13,836.5,0
control,30.76,45.33,986.8,0
control,63.75,54.06,986.6,0
control,50.3,39.78,1000.6,0
control,25.66,39.46,930.1,0
control,40.51,13.03,861.1,0
control,12.62,53.72,908.7,0
control,44.64,31.47,930.4,0
control,40.43,57.45,855.2,0
control,33.66,67.7,1006.6,0
control,72.52,40.62,946.4,0
control,23.19,25.58,828.6,0
control,56.72,43.7,1050.6,0
control,83.36,50.28,907.8,0
control,63.39,38.32,812.5,0
control,43.43,33.85,833.6,0
control,23.59,54.14,1019.0,0
control,19.48,52.96,1046.0,0
control,36.59,37.77,980.8,0
control,31.63,14.23,1005.5,0
control,31.05,52.21,997.3,0
control,38.13,30.19,944.6,0
control,42.16,47.86,926.3,0
control,52.73,46.72,943.2,0
control,21.72,10.0,958.9,0
control,31.72,45.46,840.7,0
control,41.13,53.26,958.6,0
control,40.48,55.47,1016.7,0
control,77.06,46.11,883.5,0
control,48.18,8.41,874.9,0
control,14.96,66.99,938.1,0
control,51.53,51.4,848.0,0
control,53.82,22.34,794.7,1
control,41.75,29.82,991.8,0
control,22.16,48.16,863.9,0
control,75.64,56.24,901.5,0
control,24.74,35.22,851.2,0
control,55.89,58.86,1002.1,1
control,47.6,11.73,968.3,0
control,54.81,25.24,880.7,0
control,74.72,6.84,805.6,0
control,54.11,27.85,872.2,0
control,33.94,71.15,945.6,0
control,63.91,81.04,915.1,0
control,32.64,48.22,908.7,1
control,46.94,32.51,916.9,0
control,20.72,40.01,960.7,0
control,25.4,52.52,896.7,0
control,44.92,15.87,936.0,1
control,50.63,33.7,821.0,0
control,13.36,69.83,1104.3,0
control,52.95,25.18,877.3,0
control,29.25,30.52,916.3,0
control,67.03,44.24,945.3,0
control,37.66,49.1,867.1,0
control,23.77,32.75,900.6,0
control,45.36,45.39,899.7,0
control,27.51,54.94,826.9,0
control,66.84,79.31,935.1,0
control,44.01,41.73,768.1,0
control,41.27,43.26,1040.2,0
control,54.65,71.49,963.4,0
control,25.91,34.12,951.1,0
control,20.8,20.16,761.1,0
control,51.35,48.5,836.6,0
control,24.21,63.37,1011.1,0
control,24.2,50.5,1232.1,0
control,59.06,42.25,995.6,0
control,53.45,17.93,983.0,1
control,21.43,42.95,942.0,0
control,32.86,66.2,832.2,0
control,27.73,21.79,979.6,0
control,75.97,39.59,811.9,0
control,60.31,37.03,803.2,0
control,36.42,31.44,798.1,0
control,54.37,48.46,978.1,0
control,19.59,51.98,895.4,1
control,31.89,51.79,908.1,0
control,45.89,26.42,898.8,0
control,52.14,14.37,809.9,0
control,42.25,48.72,846.3,0
control,48.46,34.89,850.4,0
control,45.41,77.09,787.6,0
control,41.06,77.92,859.7,0
control,38.67,79.83,813.5,0
control,36.33,27.08,946.2,0
control,48.17,54.25,952.9,0
control,51.39,59.68,796.5,0
control,47.57,57.65,876.3,0
control,22.79,37.62,1048.5,0
control,26.02,67.02,821.5,0
control,51.18,44.01,934.1,0
control,70.49,46.31,908.4,0
control,46.74,16.32,987.4,0
control,36.59,55.61,923.6,0
control,48.04,39.31,865.5,0
control,23.54,52.37,905.3,0
control,67.56,48.23,906.5,0
control,47.36,47.26,892.7,1
control,31.95,43.18,794.5,0
control,41.0,58.16,999.4,0
control,34.51,40.42,985.3,0
control,67.61,17.81,816.5,0
control,40.36,54.24,875.9,0
control,46.8,29.44,882.0,0
control,54.33,20.16,807.5,0
control,30.67,25.6,750.7,0
control,47.49,49.1,846.4,0
control,48.94,42.26,871.5,1
control,16.03,5.61,784.7,0
control,48.55,37.09,914.2,0
control,43.18,65.05,993.0,0
control,46.34,35.88,967.4,0
control,44.64,41.02,889.9,0
control,48.67,62.77,752.8,1
control,68.07,58.32,957.3,0
control,22.77,62.39,911.7,0
control,37.84,-5.91,933.9,0
control,56.0,75.2,1054.9,0
control,52.66,55.46,834.0,0
control,52.27,88.31,670.0,0
control,93.56,29.92,815.7,0
control,55.05,12.26,938.9,0
control,64.36,44.13,902.2,0
control,38.47,39.04,802.7,0
control,26.13,55.77,786.4,0
control,38.34,63.35,871.6,0
control,56.82,42.43,800.3,0
control,51.32,39.67,941.7,0
control,51.26,53.41,867.1,0
control,40.14,39.39,849.8,0
control,37.27,37.88,839.3,0
control,40.76,62.67,921.0,0
control,57.04,66.68,903.4,0
control,59.13,63.51,916.2,0
control,25.89,40.97,914.4,0
control,57.72,5.48,894.2,0
control,32.29,41.33,817.3,0
control,52.44,30.36,841.6,0
control,40.54,41.66,868.4,0
control,72.18,31.92,1065.2,0
control,36.47,43.63,792.1,0
control,47.22,25.29,866.5,0
control,54.92,20.95,907.9,0
control,28.27,66.01,875.7,0
control,42.69,26.55,985.9,0
control,39.2,44.01,875.3,0
control,34.75,61.18,881.2,0
control,36.08,60.46,965.2,0
control,64.02,58.31,1044.9,0
control,33.23,49.45,1012.6,0
control,54.2,57.03,889.1,0
control,49.66,68.72,896.0,0
control,18.85,51.65,903.7,0
control,53.35,10.93,911.8,0
control,18.56,34.49,832.2,0
control,55.31,56.53,974.9,0
control,34.87,32.71,916.5,0
control,44.15,73.16,896.4,0
control,20.7,42.86,798.3,0
control,46.2,45.53,905.0,0
control,60.69,64.25,748.5,0
control,29.47,40.71,853.5,0
control,33.07,47.17,855.0,0
control,52.18,60.18,923.0,0
control,52.63,17.5,1050.4,0
control,0.18,38.86,945.8,1
control,80.28,58.92,1015.9,0
control,53.51,45.18,951.6,0
control,56.54,70.41,990.0,0
control,41.42,15.63,1048.6,0
control,10.6,13.58,841.5,0
control,56.14,57.85,836.2,0
control,33.83,59.58,953.5,0
control,53.79,40.52,899.7,0
control,40.06,51.21,917.6,0
control,48.28,57.41,880.1,0
control,30.05,29.35,852.3,0
control,59.56,31.28,1029.7,0
control,22.61,47.42,812.0,0
control,84.42,60.27,954.9,0
control,84.28,23.01,941.9,0
control,73.39,40.44,773.7,0
control,66.96,39.6,833.5,0
control,42.48,51.52,847.0,0
control,65.0,43.84,945.2,0
control,42.27,34.17,870.6,0
control,16.04,66.47,893.2,0
control,71.06,34.29,783.4,0
control,64.32,38.74,1086.1,0
control,43.44,15.35,905.7,0
control,21.95,31.15,939.9,0
control,33.45,53.29,856.7,0
control,11.22,49.77,847.8,0
control,61.01,54.79,1053.0,0
control,15.14,53.92,746.7,0
control,49.16,81.58,922.3,0
control,28.81,30.54,803.1,0
control,18.32,14.85,867.6,0
control,48.29,25.09,849.0,0
control,37.99,31.33,821.1,0
control,59.09,26.46,902.8,0
control,21.18,45.69,694.6,0
control,30.37,66.55,874.8,1
control,1.02,71.71,892.8,0
control,4.68,53.08,791.3,0
control,76.37,82.54,1021.1,0
control,81.5,37.59,852.4,0
control,45.67,14.61,881.0,0
control,29.17,62.96,852.6,0
control,38.63,10.91,893.5,0
control,59.72,30.41,1004.7,0
control,34.74,53.36,1097.8,0
control,48.28,42.16,959.7,0
control,43.77,40.56,987.0,0
control,33.76,22.75,1037.3,0
control,34.53,43.81,919.9,1
control,49.28,62.07,1025.6,0
control,26.42,44.36,963.4,0
control,52.13,29.06,911.5,0
control,35.51,21.54,928.0,0
control,46.29,29.43,754.3,0
control,68.91,51.06,923.4,0
control,40.97,50.18,776.5,0
control,60.56,29.59,770.0,0
control,11.74,4.21,915.4,0
control,35.53,51.56,810.9,0
control,44.5,27.84,899.4,0
control,78.62,56.4,911.1,0
control,8.72,30.39,914.6,0
control,42.27,26.22,827.7,0
control,70.22,46.76,971.9,0
treatment,30.47,86.44,897.7,0
treatment,40.77,57.48,941.2,0
treatment,50.57,46.45,806.9,0
treatment,47.92,50.46,890.4,0
treatment,72.78,12.48,995.0,0
treatment,52.67,23.8,984.6,0
treatment,68.5,-1.2,839.6,0
treatment,38.12,75.14,860.3,0
treatment,31.27,71.49,823.9,0
treatment,40.54,51.07,851.2,0
treatment,23.74,46.43,790.3,0
treatment,53.3,16.07,893.7,0
treatment,37.65,40.05,956.9,0
treatment,32.51,76.26,840.6,0
treatment,53.58,46.37,897.6,0
treatment,24.01,33.84,886.9,0
treatment,58.47,12.35,991.5,0
treatment,35.99,68.85,854.8,0
treatment,65.46,42.74,857.8,0
