variant,revenue,pre_revenue,page_load_ms,support_ticket
control,38.1,23.82,950.7,0
control,41.14,53.24,1022.3,0
control,64.48,40.65,1000.5,0
control,68.23,22.39,897.7,0
control,33.33,54.34,832.9,0
control,30.61,36.34,900.7,0
control,27.73,48.09,1010.5,0
control,58.93,41.75,868.0,0
control,27.27,60.04,754.8,0
control,58.72,47.96,871.2,0
control,53.82,28.09,877.7,0
control,34.19,49.8,754.3,0
control,72.15,50.38,918.6,0
control,17.68,53.2,940.5,0
control,73.87,62.65,1048.8,0
control,49.74,32.91,793.4,0
control,6.68,56.02,958.4,0
control,72.65,12.95,977.3,0
control,61.5,41.84,941.6,0
control,36.29,39.06,819.5,0
control,26.64,70.06,814.8,0
control,15.76,41.19,907.8,0
control,87.48,54.94,907.2,0
control,27.38,12.29,855.2,0
control,21.26,37.67,1003.3,0
control,48.82,28.77,867.9,0
control,14.52,88.56,748.5,0
control,26.33,32.0,882.1,0
control,61.91,45.32,938.4,0
control,52.36,46.28,927.4,0
control,37.05,15.39,926.7,0
control,44.33,34.53,1019.5,0
control,36.04,51.29,810.8,0
control,42.88,45.54,866.1,0
control,30.29,2.59,1023.6,0
control,33.56,33.79,742.6,0
control,33.01,62.37,895.7,0
control,30.93,54.59,998.3,0
control,62.79,65.92,997.1,0
control,57.86,26.26,952.8,0
control,27.22,67.06,954.8,0
control,22.5,43.2,816.7,0
control,41.17,72.66,1009.9,0
control,82.8,44.06,804.0,0
control,25.5,7.15,808.8,0
control,41.1,59.29,931.0,0
control,45.6,36.02,860.6,0
control,42.04,37.23,916.5,0
control,35.75,17.84,934.5,1
control,64.79,73.2,1042.2,0
control,52.18,34.62,934.7,1
control,59.22,72.35,850.5,0
control,54.61,36.24,954.1,0
control,60.09,27.3,833.5,0
control,72.52,67.75,973.1,0
control,67.96,42.68,905.2,0
control,85.85,42.86,932.0,0
control,65.91,20.93,757.5,0
control,31.95,35.76,719.9,0
control,59.25,51.72,779.9,0
control,56.79,20.61,1039.7,0
control,78.57,34.3,808.1,0
control,26.59,36.43,958.6,1
control,54.04,45.2,848.6,0
control,31.74,70.63,880.8,0
control,53.23,38.6,896.4,0
control,40.13,31.57,1031.5,1
control,52.63,93.43,946.8,0
control,18.61,36.2,930.8,0
control,58.28,40.57,1003.7,0
control,47.71,37.56,849.3,0
control,46.74,39.02,985.5,0
control,79.1,45.4,972.1,0
control,37.12,60.57,971.2,0
control,50.16,51.27,887.6,0
control,45.8,63.39,865.0,1
control,47.56,62.79,830.4,0
control,83.99,47.75,835.4,1
control,45.15,50.77,826.6,0
control,33.79,63.96,929.3,0
control,77.68,24.0,881.7,0
control,38.46,88.97,934.5,0
control,15.11,34.77,939.0,0
control,30.66,37.68,815.2,0
control,21.56,22.19,812.8,0
control,11.6,22.72,881.7,0
control,37.47,61.53,838.0,0
control,42.74,84.86,829.6,0
control,65.25,33.79,1035.7,0
control,55.33,50.25,777.3,0
control,54.51,47.96,1061.8,0
control,27.92,62.0,923.1,0
control,59.93,83.94,978.9,1
control,69.04,71.38,969.5,0
control,51.1,39.7,949.4,0
control,51.61,53.52,1032.9,0
control,21.24,55.31,813.4,0
control,62.98,43.64,887.5,0
control,76.05,24.27,831.8,0
control,49.81,29.62,764.3,0
control,33.3,64.67,847.1,0
control,41.08,66.52,1049.8,0
control,36.43,40.26,886.1,0
control,37.51,48.7,1058.7,0
control,55.66,65.55,1066.9,0
control,49.03,13.32,1139.6,0
control,62.07,35.97,1052.4,0
control,50.68,80.32,1088.7,0
control,28.45,49.39,926.0,0
control,34.99,23.67,918.3,0
control,33.87,46.11,923.6,0
control,40.64,62.39,900.0,0
control,76.3,-1.84,912.0,0
control,79.19,47.17,960.2,1
control,59.06,37.3,862.7,0
control,46.14,14.44,789.8,0
control,19.49,45.47,929.1,0
control,47.96,41.54,844.6,0
control,29.78,43.57,852.9,0
control,73.35,37.73,888.6,0
control,15.09,25.62,870.2,0
control,50.92,17.81,988.8,0
control,28.26,31.57,886.7,0
control,43.83,59.47,992.8,0
control,55.99,48.2,916.5,0
control,62.4,42.75,892.9,0
control,42.91,25.28,912.7,0
control,57.7,37.27,796.7,0
control,32.08,57.27,927.0,0
control,48.42,53.09,967.9,0
control,62.04,35.41,979.3,0
control,49.98,-3.01,791.8,0
control,34.47,31.85,778.5,0
control,38.98,35.31,857.1,0
control,62.28,27.67,1010.8,0
control,24.35,36.56,917.7,0
control,27.0,58.7,838.0,0
control,54.83,43.33,783.8,0
control,36.1,61.81,845.3,0
control,17.84,16.85,839.9,0
control,68.31,38.51,974.8,0
control,24.21,9.1,981.0,0
control,40.41,36.32,816.0,0
control,32.85,25.18,960.3,0
control,38.64,67.06,952.1,0
control,28.08,51.37,805.6,0
control,56.86,62.27,893.3,0
control,45.99,36.27,927.3,0
control,61.71,25.65,913.1,0
control,33.03,25.07,763.2,0
control,82.39,48.78,910.5,0
control,9.72,76.58,950.9,0
control,15.47,51.42,1026.4,0
control,75.56,37.25,846.5,0
control,52.53,40.6,856.4,0
control,50.14,43.44,883.3,0
control,51.76,80.48,923.3,0
control,54.28,66.2,907.8,0
control,49.4,48.68,948.3,0
control,26.61,45.98,810.0,0
control,58.73,49.39,931.7,0
control,55.89,52.9,840.6,0
control,69.71,36.56,888.5,1
control,75.76,28.81,1036.6,0
control,49.95,62.58,788.1,0
control,21.9,44.4,877.6,0
control,75.91,61.08,798.0,0
control,25.67,73.63,912.2,0
control,50.08,53.37,983.9,0
control,39.38,50.45,913.6,0
control,36.25,101.6,890.7,0
control,57.76,47.73,1006.3,0
control,48.4,24.37,926.4,0
control,53.24,38.94,965.6,0
control,29.32,71.93,957.2,0
control,40.87,20.7,669.9,0
control,30.15,30.46,893.9,0
control,40.42,63.92,813.8,0
control,41.86,39.11,833.7,0
control,77.2,42.02,1018.0,0
control,39.33,63.32,870.0,0
control,5.74,31.1,1051.4,0
control,69.11,17.57,787.4,0
control,52.09,19.0,813.3,0
control,41.64,54.47,961.0,0
control,36.13,48.66,872.7,0
control,26.96,31.53,924.6,0
control,78.88,23.14,891.0,0
control,44.93,39.13,888.6,0
control,12.72,64.1,875.7,0
control,49.9,28.96,914.4,0
control,65.71,32.07,951.3,0
control,46.82,22.57,1029.2,0
control,27.77,37.39,883.8,0
control,26.16,50.09,868.5,0
control,27.49,82.07,858.2,0
control,71.39,47.92,1017.6,0
control,42.71,43.03,955.2,1
control,13.78,59.53,748.1,0
control,50.91,56.53,744.6,0
control,46.54,33.6,833.6,0
control,35.92,85.44,918.4,0
control,25.63,43.56,897.3,0
control,24.85,48.25,941.2,0
control,63.56,53.92,886.0,0
control,48.46,50.23,1011.8,0
control,52.62,71.46,961.8,0
control,48.41,33.38,906.2,1
control,49.9,58.1,991.6,0
control,35.57,46.96,768.1,0
control,40.3,61.69,893.2,0
control,64.97,40.13,911.0,0
control,69.46,37.69,948.2,0
control,22.0,57.18,762.8,0
control,40.25,50.44,879.2,0
control,59.11,29.23,932.0,0
control,77.88,68.22,938.2,0
control,76.08,57.19,994.9,0
control,29.68,42.66,960.9,0
control,66.95,35.57,895.1,0
control,45.06,50.55,954.0,0
control,62.8,55.89,883.9,0
control,58.19,15.31,911.7,0
control,21.25,50.76,963.6,0
control,53.9,55.75,896.4,0
control,62.1,1.66,929.0,0
control,43.64,47.53,976.9,0
control,39.57,56.5,957.0,0
control,15.71,54.46,998.7,1
control,56.31,58.44,1086.3,0
control,47.76,38.1,956.2,0
control,27.4,25.28,863.1,0
control,38.13,11.6,940.9,0
control,46.78,63.66,937.5,0
control,33.94,56.66,949.1,0
control,44.05,65.03,1019.6,0
control,12.5,30.95,765.3,0
control,68.29,58.47,1021.1,0
control,44.29,16.95,1048.0,0
control,24.21,28.35,945.4,0
control,-0.27,46.27,947.4,0
control,62.52,55.94,880.7,0
control,54.05,74.22,900.5,0
control,47.79,39.68,955.8,0
control,59.55,28.42,950.7,0
control,59.5,27.49,957.7,0
control,47.5,31.62,950.1,0
control,39.42,83.98,971.9,0
control,36.49,57.62,962.9,0
control,51.58,64.03,818.1,0
control,69.15,39.7,966.6,0
control,42.15,43.97,1048.7,0
control,70.58,56.59,897.9,0
control,50.72,34.9,1020.0,0
control,50.85,38.76,826.6,0
control,87.29,31.86,897.6,0
control,73.75,35.95,848.7,0
control,74.21,44.88,1010.3,0
control,29.64,29.21,1031.2,0
control,83.46,49.15,892.1,0
control,42.52,49.12,993.7,0
control,39.91,40.77,1032.1,0
control,5.13,29.11,897.4,0
control,49.87,45.89,910.4,0
control,24.5,34.91,958.7,0
control,51.35,44.84,832.6,0
control,23.09,63.77,908.8,0
control,76.36,21.45,1071.4,0
control,53.93,83.12,860.0,0
control,85.04,42.69,968.3,0
control,25.59,51.41,941.9,0
control,71.89,30.45,886.9,0
control,11.55,64.56,917.7,0
control,47.75,41.74,1040.2,0
control,32.63,36.91,944.3,0
control,35.94,33.64,956.8,0
control,34.7,39.17,1028.1,0
control,27.54,51.53,876.8,0
control,21.33,47.11,816.2,0
control,36.04,43.28,1041.5,0
control,46.09,31.19,910.9,0
control,64.95,30.15,971.5,0
control,49.32,35.7,839.0,0
control,65.0,52.28,931.1,0
control,17.39,55.92,812.2,0
control,36.21,58.35,905.1,0
control,56.8,43.97,848.2,0
control,50.18,50.9,829.8,0
control,28.5,40.97,875.8,0
control,60.81,12.64,716.5,1
control,34.44,40.11,807.2,0
control,30.01,37.24,962.6,0
control,52.77,25.3,927.8,0
control,44.11,33.79,814.1,0
control,34.59,46.43,943.8,0
control,33.98,23.6,829.7,0
control,24.74,31.21,957.8,0
control,36.88,71.86,890.7,0
control,63.8,15.15,874.0,0
control,48.4,40.7,892.7,0
control,61.25,23.01,1104.8,0
control,53.29,30.47,839.3,0
control,32.98,40.44,918.1,0
control,14.32,26.22,962.5,0
control,27.32,54.33,823.0,0
control,31.92,68.32,772.5,0
control,30.53,59.15,851.9,0
control,61.66,62.44,960.8,0
control,61.47,19.16,872.6,0
control,83.81,39.62,881.5,0
control,30.25,52.41,972.9,0
control,72.75,59.68,835.5,0
control,72.64,75.56,892.9,0
control,39.82,63.24,778.9,0
control,52.52,60.14,925.7,0
control,66.33,91.4,918.4,0
control,42.94,45.73,963.6,0
control,41.54,38.8,808.4,0
control,32.71,47.19,884.6,0
control,1.52,27.53,797.7,0
control,45.27,45.22,880.3,0
control,31.22,12.92,1018.5,0
control,24.64,34.47,874.3,0
control,51.6,41.92,790.7,0
control,17.88,61.09,845.6,0
control,58.51,64.0,771.1,0
control,52.7,26.65,796.3,0
control,36.8,81.37,953.7,0
control,42.86,46.67,784.3,0
control,22.58,48.32,925.0,0
control,57.51,14.88,902.1,0
control,47.37,32.84,857.5,0
control,48.71,62.9,918.2,0
control,53.03,47.06,825.0,0
control,32.44,45.94,967.3,0
control,16.66,48.09,844.1,0
control,61.23,18.02,869.1,0
control,56.4,42.26,859.6,0
control,34.36,69.35,955.2,1
control,51.36,63.56,943.6,0
control,66.64,41.75,690.3,0
control,64.5,72.15,920.3,0
control,33.84,21.34,760.4,0
control,17.2,26.51,872.7,0
control,20.29,77.55,891.3,0
control,38.39,54.4,871.8,0
control,70.32,38.8,940.1,0
control,30.89,43.0,957.6,0
control,33.27,29.48,838.1,1
control,32.9,48.98,835.2,0
control,34.43,47.55,897.1,0
control,43.8,44.36,776.5,0
control,20.96,23.12,861.8,0
control,63.52,48.77,1007.8,0
control,41.39,34.47,779.5,0
control,88.62,26.25,872.8,0
control,22.88,66.8,852.6,0
control,72.62,83.05,1060.4,0
control,69.04,78.97,857.0,0
control,36.59,55.7,861.6,1
control,36.89,39.22,817.5,0
control,27.42,42.73,900.7,0
control,27.62,51.3,921.6,0
control,43.99,36.44,829.1,0
control,44.37,67.74,979.1,0
control,15.16,7.36,921.7,0
control,85.28,38.68,968.2,0
control,39.33,58.42,873.7,0
control,45.18,28.79,919.5,0
control,32.73,39.68,883.0,0
control,39.19,54.69,1016.6,0
control,37.56,71.33,909.3,0
control,43.95,20.71,900.7,0
control,43.74,19.37,863.3,0
control,58.49,26.97,858.7,0
control,48.09,16.32,919.0,0
control,56.68,17.61,965.6,0
control,43.82,26.49,845.2,0
control,48.16,66.2,910.1,0
control,39.66,38.38,914.7,0
control,62.06,44.56,928.7,0
control,49.81,26.8,763.4,0
control,41.15,55.4,826.0,0
control,40.62,77.76,790.7,0
control,42.03,28.02,902.6,0
control,44.55,75.05,827.9,0
control,42.99,50.56,860.3,1
control,33.94,44.3,804.5,0
control,57.77,51.2,867.7,1
control,58.91,51.03,810.1,0
control,76.11,77.43,960.6,0
control,33.13,53.36,938.3,0
control,56.0,53.74,912.0,0
control,9.64,36.41,875.8,0
control,58.92,59.1,737.0,0
control,17.78,26.78,863.3,0
control,26.28,45.96,839.1,0
control,49.98,95.9,919.8,0
control,32.81,-1.08,949.6,0
control,30.35,48.2,926.0,0
control,35.27,48.89,1001.0,0
control,57.13,39.89,854.5,0
control,27.21,40.32,851.2,0
control,43.03,45.65,983.0,0
control,37.18,39.46,913.3,0
control,58.76,48.0,880.2,0
control,59.26,35.22,1047.7,0
control,10.96,80.4,946.2,0
control,62.81,39.46,884.8,0
control,33.01,54.25,845.1,0
control,48.25,31.96,1006.1,0
control,27.1,60.8,916.6,0
control,50.68,57.2,902.0,0
control,89.92,51.55,954.1,0
control,46.29,25.51,970.4,0
control,35.72,30.46,944.0,0
control,39.82,74.35,970.7,0
control,17.56,30.26,936.1,0
control,70.08,55.54,944.4,0
control,49.63,27.0,841.5,0
control,25.12,62.15,1044.8,0
control,25.71,31.64,801.3,0
control,44.28,26.66,924.8,0
control,60.78,31.18,793.1,0
control,23.28,34.03,892.1,0
control,64.04,51.28,854.3,0
control,42.35,45.25,910.9,0
control,27.26,24.29,927.3,0
control,35.58,43.5,823.5,0
control,75.47,23.42,897.6,0
control,19.01,55.58,1011.5,0
control,30.83,58.88,795.0,0
control,61.15,43.57,831.7,0
control,47.9,48.89,968.9,0
control,29.76,75.54,906.2,0
control,61.37,41.16,912.1,0
control,62.22,27.0,981.8,0
control,49.97,54.43,836.5,0
control,32.98,23.61,858.5,0
control,35.75,40.21,848.6,0
control,49.12,33.22,872.1,0
control,20.39,31.37,1007.2,0
control,67.9,39.5,763.9,0
control,74.6,60.2,804.5,0
control,39.75,63.9,790.7,0
control,50.41,60.67,1012.1,0
control,65.34,50.05,850.8,0
control,79.2,39.36,873.9,0
control,72.03,1.56,770.8,0
control,12.76,50.62,879.0,0
control,38.32,2.97,969.3,0
control,53.01,9.38,920.2,0
control,35.1,41.09,891.4,0
control,76.09,48.76,774.8,0
control,73.33,35.88,873.8,0
control,29.31,71.64,911.8,0
control,41.08,52.32,820.7,0
control,30.51,39.51,952.4,0
control,40.49,68.95,970.8,0
control,39.94,72.17,857.7,0
control,61.18,53.23,958.1,0
control,28.01,30.05,891.2,0
control,-3.1,34.1,991.8,1
control,15.12,17.96,1062.7,0
control,25.49,43.24,812.5,0
control,32.2,25.1,961.6,0
control,47.37,38.08,1004.4,0
control,24.56,48.69,822.3,0
control,22.2,8.29,854.0,0
control,27.27,21.25,853.1,0
control,23.92,34.88,889.4,0
control,34.02,43.05,871.5,0
control,33.25,35.11,884.1,0
control,56.4,39.13,967.0,0
control,26.19,31.29,748.3,0
control,37.56,17.91,822.1,0
control,34.19,34.37,953.6,0
control,58.56,40.16,944.2,1
control,41.22,38.41,815.3,0
control,62.91,46.01,944.8,0
control,23.26,51.54,1006.1,0
control,43.11,56.27,896.1,0
control,33.63,32.6,819.4,0
control,21.93,15.64,970.0,0
control,42.78,66.89,1037.8,0
control,75.19,50.94,829.1,0
control,28.65,26.82,903.1,0
control,41.71,49.0,987.2,0
control,20.38,63.22,909.2,0
control,17.73,75.13,760.2,0
control,29.83,48.51,935.5,0
control,35.9,63.07,821.7,1
control,36.7,22.23,798.3,0
control,39.93,43.35,761.8,0
control,14.33,37.97,995.2,1
control,32.73,50.17,833.2,0
control,53.03,73.0,926.7,0
control,19.55,48.5,946.3,0
control,37.61,27.12,912.9,0
control,49.27,21.26,923.7,0
control,29.92,73.62,930.5,0
control,50.15,53.25,911.0,0
control,16.62,52.07,839.2,0
control,59.99,37.81,832.1,0
control,50.58,48.82,891.6,0
control,45.0,26.23,889.9,0
control,64.25,50.97,934.3,0
control,38.07,22.85,988.1,0
control,32.88,37.53,927.5,1
control,68.71,32.43,835.1,1
control,77.13,-14.63,725.5,0
control,31.52,37.76,838.5,0
control,41.95,27.82,792.4,0
control,62.81,40.21,841.6,0
control,42.59,44.03,919.4,0
control,54.7,75.82,906.8,0
control,58.05,49.48,1048.7,0
control,33.88,50.01,938.6,0
control,51.55,52.92,1052.7,0
control,43.89,59.69,957.2,0
control,22.1,52.18,986.9,1
control,26.19,49.07,871.3,0
control,32.26,56.8,814.0,0
control,60.71,0.32,864.1,0
control,61.3,81.6,899.1,0
control,57.5,72.62,849.7,0
control,51.92,47.91,819.9,0
control,51.43,18.57,933.3,0
control,49.0,65.79,819.6,0
control,51.34,31.51,777.3,0
control,52.56,53.61,810.2,0
control,18.72,20.91,881.3,0
control,29.78,84.08,820.7,0
control,25.48,18.04,881.8,0
control,63.93,45.24,948.0,0
control,73.77,5.8,946.0,0
control,4.96,43.26,847.1,0
control,72.17,36.34,795.7,0
control,45.56,64.47,854.0,0
control,62.23,36.34,952.5,0
control,53.12,64.5,971.1,1
control,69.93,25.57,928.2,0
control,47.78,38.92,996.1,0
control,19.46,39.29,1038.3,0
control,42.1,52.92,861.3,0
control,53.28,50.63,1018.9,0
control,40.11,57.0,879.2,0
control,55.84,48.8,981.6,0
control,42.82,55.9,956.7,0
control,33.28,27.84,741.8,0
control,24.45,51.0,822.7,0
control,36.95,72.95,802.3,1
control,47.68,13.76,757.4,0
control,8.73,52.8,970.3,0
control,29.96,56.18,1065.5,1
control,8.06,70.3,879.4,0
control,32.89,57.07,968.3,0
control,65.55,45.81,1018.8,0
control,22.65,51.74,916.7,0
control,56.66,30.77,898.0,0
control,95.28,37.02,880.3,0
control,70.16,19.96,943.0,0
control,46.4,70.77,970.0,0
control,59.45,52.1,936.9,0
control,19.35,27.51,934.2,0
control,15.68,48.88,895.9,0
control,44.52,64.87,772.6,0
control,51.17,61.87,971.8,0
control,63.7,27.3,797.2,0
control,33.76,-12.41,949.6,0
control,47.48,51.12,960.5,0
control,46.86,28.04,808.8,0
control,41.63,55.2,851.4,0
control,42.7,61.1,1069.7,0
control,28.62,64.05,893.6,0
control,49.03,75.41,802.4,0
control,47.51,66.25,964.1,0
control,36.08,75.49,838.2,0
control,55.98,68.82,746.4,0
control,62.5,70.39,941.6,0
control,56.19,43.26,826.7,0
control,25.24,20.79,925.7,0
control,45.79,88.68,835.0,0
control,27.59,45.13,956.6,0
control,45.74,66.12,914.7,1
control,27.66,34.1,692.9,0
control,66.99,61.35,930.6,0
control,58.1,-0.01,876.8,0
control,64.75,36.61,1013.3,0
control,62.93,42.23,931.6,0
control,39.13,52.33,960.5,0
control,36.34,63.3,843.2,0
control,75.35,24.31,836.8,0
control,41.03,55.88,897.9,0
control,19.62,66.08,871.2,0
control,62.13,86.23,1007.0,0
control,46.59,56.72,887.7,0
control,71.11,35.73,802.0,0
control,48.37,21.11,833.8,0
control,43.64,76.93,977.2,0
treatment,77.47,57.27,1164.1,0
treatment,22.31,43.6,1159.0,0
treatment,39.46,14.84,1280.7,0
treatment,34.03,27.24,1093.1,0
treatment,10.49,55.36,967.7,0
treatment,65.72,50.37,1099.0,0
treatment,39.97,8.97,1203.0,0
treatment,66.3,55.39,1156.3,0
treatment,57.0,15.77,1031.8,0
treatment,60.93,68.37,1276.5,0
treatment,41.8,47.75,1195.5,0
treatment,36.24,35.66,1217.0,0
treatment,51.62,61.82,1219.9,0
treatment,66.55,50.36,1056.6,0
treatment,49.09,67.85,1208.8,0
treatment,37.37,45.45,1266.2,0
treatment,28.42,46.5,1288.3,0
treatment,53.67,38.87,1248.5,0
